"","site","sampling_round","bee","sociality","plant","pollen_units","uID"
"1","URWA",1,"Andrena_wilkella","Solitary","Apocynum_cannabinum",1,"MR10001"
"2","URWA",1,"Andrena_wilkella","Solitary","Lotus_corniculatus",1,"MR10001"
"3","URWA",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",1,"MR10002"
"4","URWA",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",2,"MR10003"
"5","URWA",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10004"
"6","URWA",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10005"
"7","URWA",1,"Ceratina_mikmaqi","fac_social","Penstemon_digitalis",2,"MR10006"
"8","URWA",1,"Ceratina_mikmaqi","fac_social","Swida_racemosa",1,"MR10006"
"9","URWA",1,"Hylaeus_affinis_modestus","Solitary","Rosa_multiflora",2,"MR10007"
"10","URWA",1,"Andrena_robertsonii","Solitary","Leucanthemum_vulgare",1,"MR10009"
"11","URWA",1,"Andrena_robertsonii","Solitary","Rosa_multiflora",1,"MR10009"
"12","URWA",1,"Xylocopa_virginica","fac_social","Penstemon_digitalis",2,"MR10011"
"13","URWA",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",1,"MR10012"
"14","URWA",1,"Bombus_griseocollis","Eusocial","Lotus_corniculatus",1,"MR10013"
"15","URWA",1,"Bombus_bimaculatus","Eusocial","Penstemon_digitalis",3,"MR10014"
"16","URWA",1,"Lasioglossum_gotham","Eusocial","Apocynum_cannabinum",1,"MR10015"
"17","URWA",1,"Lasioglossum_gotham","Eusocial","Leucanthemum_vulgare",2,"MR10015"
"18","URWA",1,"Ceratina_calcarata","fac_social","Leucanthemum_vulgare",1,"MR10016"
"19","URWA",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",1,"MR10016"
"20","URWA",1,"Ceratina_calcarata","fac_social","Rosa_multiflora",1,"MR10016"
"21","URWA",1,"Ceratina_calcarata","fac_social","Leucanthemum_vulgare",1,"MR10017"
"22","URWA",1,"Ceratina_calcarata","fac_social","Penstemon_digitalis",2,"MR10017"
"23","URWA",1,"Ceratina_calcarata","fac_social","Leucanthemum_vulgare",1,"MR10018"
"24","URWA",1,"Ceratina_calcarata","fac_social","Rosa_multiflora",1,"MR10018"
"25","URWA",1,"Ceratina_strenua","fac_social","Leucanthemum_vulgare",2,"MR10019"
"26","URWA",1,"Ceratina_strenua","fac_social","Penstemon_digitalis",3,"MR10019"
"27","URWA",1,"Ceratina_calcarata","fac_social","Lotus_corniculatus",1,"MR10020"
